match_id,date,team_a,team_b,event,tournament,match_type,status,stream_url,source
ps_1504727,2026-06-01 11:00:00,TBD,TBD,CCT Europe,Series 3 2026,best_of,not_started,https://kick.com/cct_cs,pandascore
ps_1504728,2026-06-01 14:00:00,TBD,TBD,CCT Europe,Series 3 2026,best_of,not_started,https://kick.com/cct_cs,pandascore
ps_1503442,2026-06-01 15:00:00,Fortress,L.820,Dust2.dk Ligaen,Season 32 2026,best_of,not_started,https://www.twitch.tv/dust2tv,pandascore
ps_1504729,2026-06-01 17:00:00,TBD,TBD,CCT Europe,Series 3 2026,best_of,not_started,https://kick.com/cct_cs,pandascore
ps_1503440,2026-06-01 18:00:00,MASONIC,STATE,Dust2.dk Ligaen,Season 32 2026,best_of,not_started,https://www.twitch.tv/dust2tv,pandascore
ps_1504696,2026-06-02 08:00:00,TBD,TBD,European Pro League,Series 7 Closed Qualifier 2026,best_of,not_started,,pandascore
ps_1494586,2026-06-02 10:30:00,GamerLegion,NRG,IEM,Cologne Major 2026,best_of,not_started,https://www.twitch.tv/ESLCSb,pandascore
ps_1494587,2026-06-02 10:30:00,B8,TYLOO,IEM,Cologne Major 2026,best_of,not_started,https://www.twitch.tv/ESLCSb,pandascore
ps_1494589,2026-06-02 10:30:00,BIG,Liquid,IEM,Cologne Major 2026,best_of,not_started,https://www.twitch.tv/ESLCSb,pandascore
ps_1494588,2026-06-02 10:30:00,BetBoom Team,Gaimin Gladiators,IEM,Cologne Major 2026,best_of,not_started,https://www.twitch.tv/ESLCSb,pandascore
ps_1494590,2026-06-02 10:30:00,M80,Lynn Vision,IEM,Cologne Major 2026,best_of,not_started,https://www.twitch.tv/ESLCSb,pandascore
ps_1494592,2026-06-02 10:30:00,MIBR,THUNDER dOWNUNDER,IEM,Cologne Major 2026,best_of,not_started,https://www.twitch.tv/ESLCSb,pandascore
ps_1494593,2026-06-02 10:30:00,Heroic,Sharks,IEM,Cologne Major 2026,best_of,not_started,https://www.twitch.tv/ESLCSb,pandascore
ps_1504697,2026-06-02 10:30:00,TBD,TBD,European Pro League,Series 7 Closed Qualifier 2026,best_of,not_started,,pandascore
ps_1494591,2026-06-02 10:30:00,Sinners,FlyQuest,IEM,Cologne Major 2026,best_of,not_started,https://www.twitch.tv/ESLCSb,pandascore
ps_1504730,2026-06-02 11:00:00,TBD,TBD,CCT Europe,Series 3 2026,best_of,not_started,https://kick.com/cct_cs,pandascore
ps_1504731,2026-06-02 14:00:00,TBD,TBD,CCT Europe,Series 3 2026,best_of,not_started,https://kick.com/cct_cs,pandascore
ps_1508622,2026-06-02 15:30:00,TBD,TBD,IEM,Cologne Major 2026,best_of,not_started,https://www.twitch.tv/ESLCSb,pandascore
ps_1508621,2026-06-02 15:30:00,TBD,TBD,IEM,Cologne Major 2026,best_of,not_started,https://www.twitch.tv/ESLCSb,pandascore
ps_1508623,2026-06-02 16:30:00,TBD,TBD,IEM,Cologne Major 2026,best_of,not_started,https://www.twitch.tv/ESLCSb,pandascore
ps_1508624,2026-06-02 16:30:00,TBD,TBD,IEM,Cologne Major 2026,best_of,not_started,https://www.twitch.tv/ESLCSb,pandascore
ps_1504732,2026-06-02 17:00:00,TBD,TBD,CCT Europe,Series 3 2026,best_of,not_started,https://kick.com/cct_cs,pandascore
ps_1508626,2026-06-02 17:30:00,TBD,TBD,IEM,Cologne Major 2026,best_of,not_started,https://www.twitch.tv/ESLCSb,pandascore
ps_1508625,2026-06-02 17:30:00,TBD,TBD,IEM,Cologne Major 2026,best_of,not_started,https://www.twitch.tv/ESLCSb,pandascore
ps_1508628,2026-06-02 18:30:00,TBD,TBD,IEM,Cologne Major 2026,best_of,not_started,https://www.twitch.tv/ESLCSb,pandascore
ps_1508627,2026-06-02 18:30:00,TBD,TBD,IEM,Cologne Major 2026,best_of,not_started,https://www.twitch.tv/ESLCSb,pandascore
ps_1504733,2026-06-03 08:00:00,TBD,TBD,CCT Europe,Series 3 2026,best_of,not_started,https://kick.com/cct_cs,pandascore
ps_1504698,2026-06-03 08:00:00,TBD,TBD,European Pro League,Series 7 Closed Qualifier 2026,best_of,not_started,,pandascore
ps_1504699,2026-06-03 10:30:00,TBD,TBD,European Pro League,Series 7 Closed Qualifier 2026,best_of,not_started,,pandascore
ps_1504734,2026-06-03 11:00:00,TBD,TBD,CCT Europe,Series 3 2026,best_of,not_started,https://kick.com/cct_cs,pandascore
ps_1508630,2026-06-03 12:30:00,TBD,TBD,IEM,Cologne Major 2026,best_of,not_started,https://www.twitch.tv/ESLCSb,pandascore
ps_1508629,2026-06-03 12:30:00,TBD,TBD,IEM,Cologne Major 2026,best_of,not_started,https://www.twitch.tv/ESLCSb,pandascore
ps_1508632,2026-06-03 13:30:00,TBD,TBD,IEM,Cologne Major 2026,best_of,not_started,https://www.twitch.tv/ESLCSb,pandascore
ps_1508631,2026-06-03 13:30:00,TBD,TBD,IEM,Cologne Major 2026,best_of,not_started,https://www.twitch.tv/ESLCSb,pandascore
ps_1504735,2026-06-03 14:00:00,TBD,TBD,CCT Europe,Series 3 2026,best_of,not_started,https://kick.com/cct_cs,pandascore
ps_1508634,2026-06-03 14:30:00,TBD,TBD,IEM,Cologne Major 2026,best_of,not_started,https://www.twitch.tv/ESLCSb,pandascore
ps_1508633,2026-06-03 14:30:00,TBD,TBD,IEM,Cologne Major 2026,best_of,not_started,https://www.twitch.tv/ESLCSb,pandascore
ps_1508635,2026-06-03 17:00:00,TBD,TBD,IEM,Cologne Major 2026,best_of,not_started,https://www.twitch.tv/ESLCSb,pandascore
ps_1504736,2026-06-03 17:00:00,TBD,TBD,CCT Europe,Series 3 2026,best_of,not_started,https://kick.com/cct_cs,pandascore
ps_1508636,2026-06-03 17:00:00,TBD,TBD,IEM,Cologne Major 2026,best_of,not_started,https://www.twitch.tv/ESLCSb,pandascore
ps_1504748,2026-06-04 08:00:00,TBD,TBD,European Pro League,Series 7 2026,best_of,not_started,https://kick.com/eplcs_en,pandascore
ps_1504737,2026-06-04 08:00:00,TBD,TBD,CCT Europe,Series 3 2026,best_of,not_started,https://kick.com/cct_cs,pandascore
ps_1504749,2026-06-04 10:30:00,TBD,TBD,European Pro League,Series 7 2026,best_of,not_started,https://kick.com/eplcs_en,pandascore
ps_1504738,2026-06-04 11:00:00,TBD,TBD,CCT Europe,Series 3 2026,best_of,not_started,https://kick.com/cct_cs,pandascore
ps_1508638,2026-06-04 12:00:00,TBD,TBD,IEM,Cologne Major 2026,best_of,not_started,https://www.twitch.tv/ESLCSb,pandascore
